Text,Category,Emotion,Severity
fear consumes me every night before sleeping.,Negative,Fear,High
i feel like i'm drowning in despair.,Negative,Depression,High
everything feels like it's falling apart.,Negative,Sad,High
she works in the marketing department.,Neutral,Neutral,'
the conference call lasted an hour.,Neutral,Neutral,'
my hands tremble when i sense danger.,Negative,Fear,Moderate
i wake up feeling stressed without reason.,Negative,Anxiety,Moderate
watched a feel-good movie. it lifted my spirits.,Positive,Happy,'
they serve lunch until 3 pm.,Neutral,Neutral,'
i cry for no reason and don't know why.,Negative,Depression,Moderate
i feel frustrated when ignored.,Negative,Anger,Moderate
enjoyed a quiet cup of coffee this morning.,Positive,Happy,'
i just don't feel like myself anymore.,Negative,Depression,Low
i lack motivation for daily activities.,Negative,Depression,Low
i am afraid something bad might happen.,Negative,Fear,Moderate
this is the happiest i've felt in a long time!,Positive,Happy,'
i feel uncomfortable in unfamiliar places.,Negative,Fear,Low
i cry for no reason and don't know why.,Negative,Depression,Moderate
a small change in routine makes me uneasy.,Negative,Anxiety,Low
my temper flares during disagreements.,Negative,Anger,Moderate
i'm lost in overwhelming darkness.,Negative,Depression,Moderate
my anger turns into destructive behavior.,Negative,Anger,High
i felt appreciated for the little things i did.,Positive,Happy,'
disrespectful comments make me angry.,Negative,Anger,Moderate
i don't know how much longer i can keep going.,Negative,Depression,High
dark rooms make me uncomfortable.,Negative,Fear,Low
i can't sleep because of overwhelming anxiety.,Negative,Anxiety,High
i feel angry when treated unfairly.,Negative,Anger,Moderate
"finally finished that project, what a relief!",Positive,Happy,'
the printer needs paper.,Neutral,Neutral,'
"made progress on my goals, feels amazing.",Positive,Happy,'
i feel nervous about new experiences.,Negative,Anxiety,Low
i hesitate to walk alone at night.,Negative,Fear,Low
i get annoyed when plans change suddenly.,Negative,Anger,Low
i did it! i actually did it!,Positive,Happy,'
i become violent when extremely angry.,Negative,Anger,High
life feels unbearable every single day.,Negative,Depression,High
i feel forgotten and overlooked.,Negative,Sad,Moderate
group discussions make me sweat nervously.,Negative,Anxiety,Moderate
i panic if loved ones don't respond quickly.,Negative,Fear,High
i feel like i'm drowning in emptiness.,Negative,Depression,Moderate
had a delicious meal and laughed a lot tonight.,Positive,Happy,'
the package was delivered yesterday.,Neutral,Neutral,'
my fury is completely overwhelming.,Negative,Anger,High
i worry excessively about future events.,Negative,Anxiety,Moderate
disorganization makes me quite angry.,Negative,Anger,Moderate
i'm slightly uneasy in social settings.,Negative,Anxiety,Low
i have three appointments today.,Neutral,Neutral,'
i feel tense in social situations.,Negative,Anxiety,Low
i'm overwhelmed by sadness i can't shake off.,Negative,Depression,Moderate
i'm afraid of making mistakes.,Negative,Fear,Moderate
i'm terrified of being left alone forever.,Negative,Fear,High
i'm consumed by overwhelming panic.,Negative,Anxiety,High
the weather is pleasant today.,Neutral,Neutral,'
my thoughts spiral when i'm uncertain.,Negative,Anxiety,Moderate
i get annoyed when plans change suddenly.,Negative,Anger,Low
there's a constant feeling of restlessness.,Negative,Anxiety,Moderate
i break down after intense outbursts.,Negative,Anger,High
a little down but trying to stay positive.,Negative,Sad,Low
i felt truly connected with people today.,Positive,Happy,'
"got a compliment at work, it made my day.",Positive,Happy,'
i don't know how much longer i can keep going.,Negative,Depression,High
i feel a bit nervous before meetings.,Negative,Anxiety,Low
i feel like i'm in constant danger.,Negative,Fear,High
i feel disconnected from others.,Negative,Sad,Moderate
i feel slightly deflated.,Negative,Sad,Low
i feel mildly frustrated with technical issues.,Negative,Anger,Low
she works in the marketing department.,Neutral,Neutral,'
disrespectful comments make me angry.,Negative,Anger,Moderate
i'm consumed by terrifying thoughts.,Negative,Fear,High
i feel like breaking things when angry.,Negative,Anger,High
i'm struggling to find a reason to get through the day.,Negative,Depression,Moderate
life feels beautiful right now.,Positive,Happy,'
i feel slightly disappointed.,Negative,Sad,Low
there's nothing left that brings me peace.,Negative,Depression,Moderate
i feel deeply disappointed.,Negative,Sad,Moderate
i can't stop smiling!,Positive,Happy,'
the temperature is 22 degrees.,Neutral,Neutral,'
i'm overwhelmed by sadness i can't shake off.,Negative,Depression,Moderate
i fear disappointing others.,Negative,Fear,Moderate
caught up with a friend over video call. made my day!,Positive,Happy,'
i avoid social events due to nervousness.,Negative,Anxiety,Moderate
my heart feels shattered beyond repair.,Negative,Sad,High
i'm a bit scared during thunderstorms.,Negative,Fear,Low
i had a rough conversation today.,Negative,Sad,Moderate
she works in the marketing department.,Neutral,Neutral,'
i'm paralyzed by intense worry.,Negative,Anxiety,High
i'm overwhelmed by sadness i can't shake.,Negative,Sad,High
the temperature is 22 degrees.,Neutral,Neutral,'
i'm terrified of being left alone forever.,Negative,Fear,High
watched a feel-good movie. it lifted my spirits.,Positive,Happy,'
i feel like i'm drowning in emptiness.,Negative,Depression,Moderate
nothing feels right anymore.,Negative,Sad,High
i got the job! i am over the moon!,Positive,Happy,'
i feel empty inside.,Negative,Sad,Moderate
every sound makes me jump with fear.,Negative,Fear,High
"everyone's around, but i still feel distant.",Negative,Depression,Low
messy spaces make me somewhat angry.,Negative,Anger,Low
i feel somewhat blue.,Negative,Sad,Low
i avoid conversations because i feel empty inside.,Negative,Depression,Low
the cat is sleeping.,Neutral,Neutral,'
i feel overwhelmed by daily responsibilities.,Negative,Anxiety,Moderate
i'm consumed by terrifying thoughts.,Negative,Fear,High
"suddenly, i feel like i'm choking and can't calm down.",Negative,Anxiety,High
i have been feeling emotionally flat lately.,Negative,Depression,Low
i'm haunted by past traumatic experiences.,Negative,Fear,High
the cat is sleeping.,Neutral,Neutral,'
group discussions make me sweat nervously.,Negative,Anxiety,Moderate
i feel distant from everyone.,Negative,Sad,Moderate
i'm experiencing profound sadness.,Negative,Sad,Moderate
i avoid hospitals out of deep fear.,Negative,Fear,High
i have violent thoughts during fits of rage.,Negative,Anger,High
i avoid dark alleys out of caution.,Negative,Fear,Low
i feel nervous about new experiences.,Negative,Anxiety,Low
i'm feeling overwhelmed by sadness.,Negative,Sad,Moderate
i feel like i'm in a bottomless pit.,Negative,Depression,High
caught up with a friend over video call. made my day!,Positive,Happy,'
so hurt i can't explain it.,Negative,Sad,High
i feel irritated by loud noises.,Negative,Anger,Low
she is reading a book.,Neutral,Neutral,'
i fear stepping out of the house alone.,Negative,Fear,High
i feel consumed by uncontrollable rage.,Negative,Anger,High
today was a good day.,Positive,Happy,'
i stay alert constantly fearing bad news.,Negative,Fear,Moderate
i'm slightly afraid of water.,Negative,Fear,Low
i'm slightly nervous about public speaking.,Negative,Fear,Low
i am terrified of going outside alone.,Negative,Fear,High
i'm slightly afraid of water.,Negative,Fear,Low
i feel deeply disappointed.,Negative,Sad,Moderate
every day feels the same and dull.,Negative,Depression,Low
i've been isolating myself more than usual.,Negative,Depression,Low
i'm somewhat afraid of spiders.,Negative,Fear,Low
i feel uncomfortable during casual conversations.,Negative,Anxiety,Low
i can't stop smiling!,Positive,Happy,'
i'm struggling with heavy emotions.,Negative,Sad,Moderate
i downloaded a new app.,Neutral,Neutral,'
i wake up from nightmares drenched in sweat.,Negative,Fear,High
i'm feeling overwhelmed by sadness.,Negative,Sad,Moderate
repetitive sounds irritate me slightly.,Negative,Anger,Low
traffic delays annoy me slightly.,Negative,Anger,Low
the meeting is at 2 pm.,Neutral,Neutral,'
i'm gripped by paralyzing terror.,Negative,Fear,High
i feel like i'm losing control completely.,Negative,Anxiety,High
everything hurts and i can't make it stop.,Negative,Sad,High
"suddenly, i feel like i'm choking and can't calm down.",Negative,Anxiety,High
things aren't going as planned.,Negative,Sad,Low
i get worked up over injustice.,Negative,Anger,Moderate
there's nothing left that brings me peace.,Negative,Depression,Moderate
i'm paralyzed by intense worry.,Negative,Anxiety,High
i'm slightly nervous about public speaking.,Negative,Fear,Low
i feel slightly annoyed when interrupted.,Negative,Anger,Low
i get mildly frustrated with slow internet.,Negative,Anger,Low
i'm experiencing profound sadness.,Negative,Sad,Moderate
i downloaded a new app.,Neutral,Neutral,'
i'm paralyzed by overwhelming fear.,Negative,Fear,High
minor inconveniences bother me.,Negative,Anger,Low
i can't control my rage anymore.,Negative,Anger,High
i completed a big task and feel accomplished.,Positive,Happy,'
i feel a little gloomy.,Negative,Sad,Low
i feel heartbroken.,Negative,Sad,Moderate
the bus arrives every 15 minutes.,Neutral,Neutral,'
i feel unsafe in unfamiliar places.,Negative,Fear,Moderate
i feel like i'm just existing.,Negative,Depression,Low
i punch walls when i lose control.,Negative,Anger,High
the store closes at 9 pm.,Neutral,Neutral,'
today was a good day.,Positive,Happy,'
"had a pretty decent day today, can't complain.",Positive,Happy,'
i'm somewhat disheartened.,Negative,Sad,Low
"tried a new recipe, and it turned out okay!",Positive,Happy,'
strangers staring makes me anxious.,Negative,Fear,Moderate
i get worked up over injustice.,Negative,Anger,Moderate
i did it! i actually did it!,Positive,Happy,'
my hands get sweaty talking to strangers.,Negative,Anxiety,Moderate
i worry excessively about future events.,Negative,Anxiety,Moderate
i double-check things more than i should.,Negative,Anxiety,Low
tears won't stop today.,Negative,Sad,High
i get mildly anxious meeting new people.,Negative,Anxiety,Low
i do not feel connected to anyone around me.,Negative,Depression,Moderate
i cannot see a way out of this darkness.,Negative,Sad,High
i feel like i'm suffocating from anxiety.,Negative,Anxiety,High
my thoughts feel heavy and hard to escape.,Negative,Depression,Moderate
i get a bit upset when people are rude.,Negative,Anger,Low
my anger frightens even me sometimes.,Negative,Anger,High
i am so proud of myself.,Positive,Happy,'
i feel breathless during stressful moments.,Negative,Anxiety,Moderate
i feel empty inside.,Negative,Sad,Moderate
i'm suffocating under crushing despair.,Negative,Depression,High
i'm overwhelmed by sadness i can't shake.,Negative,Sad,High
she works in the marketing department.,Neutral,Neutral,'
a kind message from a friend made my day.,Positive,Happy,'
i got the job! i am over the moon!,Positive,Happy,'
i check locks before sleeping.,Negative,Fear,Low
"the sun is out, and it feels nice to relax.",Positive,Happy,'
i avoid social events due to nervousness.,Negative,Anxiety,Moderate
i'm slightly worried about the future.,Negative,Fear,Low
i feel angry when treated unfairly.,Negative,Anger,Moderate
i have three appointments today.,Neutral,Neutral,'
late responses irritate me a bit.,Negative,Anger,Low
i check locks before sleeping.,Negative,Fear,Low
i feel like i'm slowly disappearing from life.,Negative,Depression,Moderate
i get frightened when people raise voices.,Negative,Fear,Moderate
"had a pretty decent day today, can't complain.",Positive,Happy,'
"it's been a peaceful, uneventful day.",Positive,Happy,'
a kind message from a friend made my day.,Positive,Happy,'
i break down after intense outbursts.,Negative,Anger,High
i'm a bit emotional today.,Negative,Sad,Low
i hurt myself when rage overtakes me.,Negative,Anger,High
i'm struggling to focus.,Negative,Sad,Moderate
i have been feeling emotionally flat lately.,Negative,Depression,Low
the conference call lasted an hour.,Neutral,Neutral,'
i feel forgotten and overlooked.,Negative,Sad,Moderate
i am afraid something bad might happen.,Negative,Fear,Moderate
i raise my voice when disrespected.,Negative,Anger,Moderate
poor service makes me a bit angry.,Negative,Anger,Low
i feel slightly annoyed when interrupted.,Negative,Anger,Low
"had a pretty decent day today, can't complain.",Positive,Happy,'
the temperature is 22 degrees.,Neutral,Neutral,'
i feel like i'm fading into the background.,Negative,Depression,Low
i struggle to relax even after work.,Negative,Anxiety,Moderate
i get mildly anxious meeting new people.,Negative,Anxiety,Low
i've lost relationships due to anger issues.,Negative,Anger,High
i do not feel connected to anyone around me.,Negative,Depression,Moderate
i have lost all hope and meaning.,Negative,Depression,High
this is the happiest i've felt in a long time!,Positive,Happy,'
i feel completely broken inside.,Negative,Depression,High
i'm drowning in overwhelming sorrow.,Negative,Sad,High
there are clouds in the sky.,Neutral,Neutral,'
i become violent when extremely angry.,Negative,Anger,High
confronting people gives me chills.,Negative,Fear,Moderate
i avoid hospitals out of deep fear.,Negative,Fear,High
i'm terrified of being left alone forever.,Negative,Fear,High
i felt truly connected with people today.,Positive,Happy,'
i felt appreciated for the little things i did.,Positive,Happy,'
my mind is constantly battling itself.,Negative,Depression,Moderate
my whole body shakes before big decisions.,Negative,Anxiety,High
i become violent when extremely angry.,Negative,Anger,High
i lack motivation for daily activities.,Negative,Depression,Low
i can't sleep because of overwhelming anxiety.,Negative,Anxiety,High
"finally finished that project, what a relief!",Positive,Happy,'
i'm slightly discouraged.,Negative,Sad,Low
i've been isolating myself more than usual.,Negative,Depression,Low
enjoyed peaceful moments with family.,Positive,Happy,'
i worry about being rejected.,Negative,Fear,Moderate
got good feedback on something i worked hard on.,Positive,Happy,'
had a delicious meal and laughed a lot tonight.,Positive,Happy,'
i get heated during difficult conversations.,Negative,Anger,Moderate
my fury is completely overwhelming.,Negative,Anger,High
i feel quite low after work.,Negative,Sad,Moderate
there's a constant feeling of restlessness.,Negative,Anxiety,Moderate
the weather is pleasant today.,Neutral,Neutral,'
"finally finished that project, what a relief!",Positive,Happy,'
caught up with a friend over video call. made my day!,Positive,Happy,'
i have lost all hope and meaning.,Negative,Depression,High
getting out of bed feels like a task.,Negative,Depression,Low
i hesitate to walk alone at night.,Negative,Fear,Low
"i am here, but i don't feel alive.",Negative,Depression,High
the temperature is 22 degrees.,Neutral,Neutral,'
rude behavior makes me notably angry.,Negative,Anger,Moderate
i need to buy groceries.,Neutral,Neutral,'
the phone is charging.,Neutral,Neutral,'
i need to buy groceries.,Neutral,Neutral,'
i feel like i'm just existing.,Negative,Depression,Low
i stay alert constantly fearing bad news.,Negative,Fear,Moderate
i live in constant fear for my safety.,Negative,Fear,High
i had a rough conversation today.,Negative,Sad,Moderate
i'm a bit emotional today.,Negative,Sad,Low
disappointed in myself today.,Negative,Sad,Moderate
i get nervous watching horror movies.,Negative,Fear,Low
i check locks before sleeping.,Negative,Fear,Low
i'm struggling to focus.,Negative,Sad,Moderate
i have three appointments today.,Neutral,Neutral,'
dark rooms make me uncomfortable.,Negative,Fear,Low
i can't sleep because of overwhelming anxiety.,Negative,Anxiety,High
had a nice conversation with a friend today.,Positive,Happy,'
tears won't stop today.,Negative,Sad,High
i'm drowning in overwhelming sorrow.,Negative,Sad,High
i get heated during difficult conversations.,Negative,Anger,Moderate
enjoyed peaceful moments with family.,Positive,Happy,'
i feel breathless during stressful moments.,Negative,Anxiety,Moderate
disrespectful comments make me angry.,Negative,Anger,Moderate
i hesitate to make decisions due to fear.,Negative,Fear,Moderate
"it's been a peaceful, uneventful day.",Positive,Happy,'
i feel consumed by unbearable pain.,Negative,Sad,High
i feel somewhat blue.,Negative,Sad,Low
i feel uneasy in crowded spaces.,Negative,Fear,Low
had a nice conversation with a friend today.,Positive,Happy,'
i cannot see a way out of this darkness.,Negative,Sad,High
had a delicious meal and laughed a lot tonight.,Positive,Happy,'
every sound makes me jump with fear.,Negative,Fear,High
minor mistakes stay on my mind longer.,Negative,Anxiety,Low
it's tuesday today.,Neutral,Neutral,'
i wake up from nightmares drenched in sweat.,Negative,Fear,High
my anger frightens even me sometimes.,Negative,Anger,High
i feel like breaking things when angry.,Negative,Anger,High
waiting in long lines frustrates me mildly.,Negative,Anger,Low
i live in constant fear for my safety.,Negative,Fear,High
i'm going through the motions of life.,Negative,Depression,Low
it's tuesday today.,Neutral,Neutral,'
i sometimes overthink small things.,Negative,Anxiety,Low
the printer needs paper.,Neutral,Neutral,'
caught up with a friend over video call. made my day!,Positive,Happy,'
i feel disconnected from others.,Negative,Sad,Moderate
i've lost relationships due to anger issues.,Negative,Anger,High
i'm overwhelmed by sadness i can't shake.,Negative,Sad,High
i feel detached from reality due to anxiety.,Negative,Anxiety,High
every day feels the same and dull.,Negative,Depression,Low
i worry about being rejected.,Negative,Fear,Moderate
had a nice conversation with a friend today.,Positive,Happy,'
i feel completely broken inside.,Negative,Sad,High
i feel like i'm losing control completely.,Negative,Anxiety,High
making phone calls stresses me out slightly.,Negative,Anxiety,Low
i feel like a burden.,Negative,Sad,High
i feel tense in social situations.,Negative,Anxiety,Low
"i feel invisible, like no one would notice if i vanished.",Negative,Depression,High
i feel like i'm just existing.,Negative,Depression,Low
"i am here, but i don't feel alive.",Negative,Depression,High
i feel completely broken inside.,Negative,Depression,High
i'm somewhat afraid of spiders.,Negative,Fear,Low
i feel unsafe in unfamiliar places.,Negative,Fear,Moderate
i feel unsure before starting new tasks.,Negative,Anxiety,Low
my whole body shakes before big decisions.,Negative,Anxiety,High
everything feels right today.,Positive,Happy,'
i feel nervous about new experiences.,Negative,Anxiety,Low
i struggle to relax even after work.,Negative,Anxiety,Moderate
there's a constant feeling of restlessness.,Negative,Anxiety,Moderate
i feel consumed by unbearable pain.,Negative,Sad,High
"made progress on my goals, feels amazing.",Positive,Happy,'
i feel like i'm slowly fading from memory.,Negative,Depression,Moderate
i feel uneasy when flying in planes.,Negative,Fear,Low
i missed someone a lot today.,Negative,Sad,Moderate
my thoughts feel heavy and hard to escape.,Negative,Depression,Moderate
everything feels like it's falling apart.,Negative,Sad,High
i'm constantly tired after a full night's sleep.,Negative,Depression,Low
watched a feel-good movie. it lifted my spirits.,Positive,Happy,'
listening to my favorite playlist and feeling good.,Positive,Happy,'
i break down after intense outbursts.,Negative,Anger,High
i wake up wishing i hadn't.,Negative,Depression,High
had a nice conversation with a friend today.,Positive,Happy,'
i'm feeling overwhelmed by sadness.,Negative,Sad,Moderate
i feel emotionally tired.,Negative,Sad,Moderate
this is the happiest i've felt in a long time!,Positive,Happy,'
i'm gripped by paralyzing terror.,Negative,Fear,High
i felt appreciated for the little things i did.,Positive,Happy,'
i felt truly connected with people today.,Positive,Happy,'
i feel a bit nervous before meetings.,Negative,Anxiety,Low
"life feels meaningless, and i am just existing.",Negative,Depression,Moderate
i am so proud of myself.,Positive,Happy,'
i feel a bit nervous before meetings.,Negative,Anxiety,Low
the package was delivered yesterday.,Neutral,Neutral,'
messy spaces make me somewhat angry.,Negative,Anger,Low
i feel consumed by uncontrollable rage.,Negative,Anger,High
i feel slight tension before exams.,Negative,Anxiety,Low
i raise my voice when disrespected.,Negative,Anger,Moderate
i avoid dark alleys out of caution.,Negative,Fear,Low
"the sun is out, and it feels nice to relax.",Positive,Happy,'
this moment is perfect.,Positive,Happy,'
got good feedback on something i worked hard on.,Positive,Happy,'
enjoyed a quiet cup of coffee this morning.,Positive,Happy,'
"made progress on my goals, feels amazing.",Positive,Happy,'
i feel like i'm drowning in despair.,Negative,Depression,High
i felt appreciated for the little things i did.,Positive,Happy,'
i fear disappointing others.,Negative,Fear,Moderate
i get frightened when people raise voices.,Negative,Fear,Moderate
getting out of bed feels like a task.,Negative,Depression,Low
i often fear losing control in situations.,Negative,Fear,Moderate
i wish i could disappear.,Negative,Depression,High
deadlines make my heart race frequently.,Negative,Anxiety,Moderate
"had a pretty decent day today, can't complain.",Positive,Happy,'
late responses irritate me a bit.,Negative,Anger,Low
i'm slightly discouraged.,Negative,Sad,Low
the store closes at 9 pm.,Neutral,Neutral,'
i feel slightly annoyed when interrupted.,Negative,Anger,Low
i feel uncomfortable in unfamiliar places.,Negative,Fear,Low
i feel like a burden.,Negative,Sad,High
this is the happiest i've felt in a long time!,Positive,Happy,'
i feel emotionally numb.,Negative,Depression,Low
i feel heated when my time is wasted.,Negative,Anger,Moderate
"got a compliment at work, it made my day.",Positive,Happy,'
i feel a bit anxious about heights.,Negative,Fear,Low
uncertainty causes me noticeable distress.,Negative,Anxiety,Moderate
i cry without knowing the exact reason.,Negative,Anxiety,High
i feel tense in social situations.,Negative,Anxiety,Low
i feel distant from everyone.,Negative,Sad,Moderate
the weather is pleasant today.,Neutral,Neutral,'
smiling feels forced and exhausting.,Negative,Depression,Moderate
i am so proud of myself.,Positive,Happy,'
"tried a new recipe, and it turned out okay!",Positive,Happy,'
i am so proud of myself.,Positive,Happy,'
i have violent thoughts during fits of rage.,Negative,Anger,High
my thoughts feel heavy and endless.,Negative,Depression,Moderate
i do not feel connected to anyone around me.,Negative,Depression,Moderate
i completed a big task and feel accomplished.,Positive,Happy,'
i feel a bit off today.,Negative,Sad,Low
i felt truly connected with people today.,Positive,Happy,'
i've lost relationships due to anger issues.,Negative,Anger,High
deadlines make my heart race frequently.,Negative,Anxiety,Moderate
i hesitate to make decisions due to fear.,Negative,Fear,Moderate
traffic delays annoy me slightly.,Negative,Anger,Low
it's tuesday today.,Neutral,Neutral,'
the bus arrives every 15 minutes.,Neutral,Neutral,'
enjoyed a quiet cup of coffee this morning.,Positive,Happy,'
my hands get sweaty talking to strangers.,Negative,Anxiety,Moderate
small mistakes make me a little angry.,Negative,Anger,Low
i'm slightly worried about the future.,Negative,Fear,Low
i fear stepping out of the house alone.,Negative,Fear,High
i'm feeling somewhat melancholy.,Negative,Sad,Low
the coffee is hot.,Neutral,Neutral,'
i hurt myself when rage overtakes me.,Negative,Anger,High
this moment is perfect.,Positive,Happy,'
i have been feeling emotionally flat lately.,Negative,Depression,Low
i feel a bit off today.,Negative,Sad,Low
i fear being judged in new groups.,Negative,Fear,Moderate
a small change in routine makes me uneasy.,Negative,Anxiety,Low
i feel unsure before starting new tasks.,Negative,Anxiety,Low
i feel unsure before starting new tasks.,Negative,Anxiety,Low
i've been isolating myself more than usual.,Negative,Depression,Low
"it's been a peaceful, uneventful day.",Positive,Happy,'
i feel like i'm in constant danger.,Negative,Fear,High
i feel slightly deflated.,Negative,Sad,Low
every part of me wants to disappear.,Negative,Depression,High
i can't stop smiling!,Positive,Happy,'
i worry excessively about future events.,Negative,Anxiety,Moderate
my thoughts spiral when i'm uncertain.,Negative,Anxiety,Moderate
the phone is charging.,Neutral,Neutral,'
i feel frustrated when ignored.,Negative,Anger,Moderate
i felt truly connected with people today.,Positive,Happy,'
i completed a big task and feel accomplished.,Positive,Happy,'
i feel slightly disappointed.,Negative,Sad,Low
i need to buy groceries.,Neutral,Neutral,'
i wish i could disappear.,Negative,Depression,High
my heart feels shattered beyond repair.,Negative,Sad,High
i lack motivation for daily activities.,Negative,Depression,Low
i feel a little gloomy.,Negative,Sad,Low
woke up feeling positive and ready for the day.,Positive,Happy,'
i fear being judged in new groups.,Negative,Fear,Moderate
i feel slight tension before exams.,Negative,Anxiety,Low
there are clouds in the sky.,Neutral,Neutral,'
listening to my favorite playlist and feeling good.,Positive,Happy,'
i feel like breaking things when angry.,Negative,Anger,High
i get nervous watching horror movies.,Negative,Fear,Low
i'm a bit emotional today.,Negative,Sad,Low
i have been feeling emotionally flat lately.,Negative,Depression,Low
i'm feeling a bit down today.,Negative,Sad,Low
my mind is constantly battling itself.,Negative,Depression,Moderate
The book is on the table.,Neutral,Neutral,'
It is raining outside.,Neutral,Neutral,'
She went to the store.,Neutral,Neutral,'
The computer is turned off.,Neutral,Neutral,'
The train arrived on time.,Neutral,Neutral,'
He closed the door.,Neutral,Neutral,'
I ate lunch at noon.,Neutral,Neutral,'
There are three pens in the drawer.,Neutral,Neutral,'
The meeting starts at 10 a.m.,Neutral,Neutral,'
The room has two windows.,Neutral,Neutral,'
Water boils at 100 degrees Celsius.,Neutral,Neutral,'
They walked to the park.,Neutral,Neutral,'
He sent an email.,Neutral,Neutral,'
The dog is sitting.,Neutral,Neutral,'
The sky is overcast.,Neutral,Neutral,'
I took a bus to work.,Neutral,Neutral,'
The phone battery is at 50%.,Neutral,Neutral,'
There is a file on the desktop.,Neutral,Neutral,'
I folded the laundry.,Neutral,Neutral,'
The door was locked.,Neutral,Neutral,'
The light turned green.,Neutral,Neutral,'
She wrote her name.,Neutral,Neutral,'
I drank a glass of water.,Neutral,Neutral,'
The printer is out of paper.,Neutral,Neutral,'
They watched the news.,Neutral,Neutral,'
The clock struck 3 p.m.,Neutral,Neutral,'
He opened the window.,Neutral,Neutral,'
I received a message.,Neutral,Neutral,'
The power went out briefly.,Neutral,Neutral,'
She is wearing a blue dress.,Neutral,Neutral,'
The street was quiet.,Neutral,Neutral,'
They arrived yesterday.,Neutral,Neutral,'
I took a photo.,Neutral,Neutral,'
The machine was turned on.,Neutral,Neutral,'
The keys are on the counter.,Neutral,Neutral,'
He looked at the screen.,Neutral,Neutral,'
The leaves are green.,Neutral,Neutral,'
I walked down the hallway.,Neutral,Neutral,'
She made a phone call.,Neutral,Neutral,'
The wall is painted white.,Neutral,Neutral,'
They read a newspaper.,Neutral,Neutral,'
The package was delivered.,Neutral,Neutral,'
The car stopped at the signal.,Neutral,Neutral,'
I set an alarm.,Neutral,Neutral,'
The file was saved.,Neutral,Neutral,'
It’s Tuesday today.,Neutral,Neutral,'
She opened the book.,Neutral,Neutral,'
The water bottle is empty.,Neutral,Neutral,'
The microwave beeped.,Neutral,Neutral,'
They are in the living room.,Neutral,Neutral,'
The ceiling fan is spinning.,Neutral,Neutral,'
I turned off the TV.,Neutral,Neutral,'
The lamp is on the desk.,Neutral,Neutral,'
He typed on the keyboard.,Neutral,Neutral,'
The road is straight.,Neutral,Neutral,'
I switched off the light.,Neutral,Neutral,'
The app is running.,Neutral,Neutral,'
It’s 22 degrees outside.,Neutral,Neutral,'
The doorbell rang.,Neutral,Neutral,'
She checked the calendar.,Neutral,Neutral,'
I wore a jacket.,Neutral,Neutral,'
The curtain is open.,Neutral,Neutral,'
He opened the fridge.,Neutral,Neutral,'
The cup is on the shelf.,Neutral,Neutral,'
I clicked the link.,Neutral,Neutral,'
The battery is charging.,Neutral,Neutral,'
The fan is noisy.,Neutral,Neutral,'
The notebook is full.,Neutral,Neutral,'
They filled the form.,Neutral,Neutral,'
The cup is empty.,Neutral,Neutral,'
The taxi arrived.,Neutral,Neutral,'
The bin is in the corner.,Neutral,Neutral,'
The lights are on.,Neutral,Neutral,'
She shut the laptop.,Neutral,Neutral,'
I parked the car.,Neutral,Neutral,'
The switch is off.,Neutral,Neutral,'
The chair is wooden.,Neutral,Neutral,'
The pencil is broken.,Neutral,Neutral,'
The floor is clean.,Neutral,Neutral,'
I picked up the envelope.,Neutral,Neutral,'
They left the house.,Neutral,Neutral,'
The sink is full.,Neutral,Neutral,'
The glass broke.,Neutral,Neutral,'
The sun set at 6:45.,Neutral,Neutral,'
The notebook is on the desk.,Neutral,Neutral,'
The plant needs water.,Neutral,Neutral,'
The alarm rang at 6 a.m.,Neutral,Neutral,'
He moved the table.,Neutral,Neutral,'
The stairs are steep.,Neutral,Neutral,'
The air conditioner is on.,Neutral,Neutral,'
I opened the drawer.,Neutral,Neutral,'
The towel is wet.,Neutral,Neutral,'
They locked the gate.,Neutral,Neutral,'
The soup is warm.,Neutral,Neutral,'
I turned down the volume.,Neutral,Neutral,'
The road was clear.,Neutral,Neutral,'
She turned the page.,Neutral,Neutral,'
The bottle fell.,Neutral,Neutral,'
I set the timer.,Neutral,Neutral,'
The desk is cluttered.,Neutral,Neutral,'
The music stopped.,Neutral,Neutral,'
The board is blank.,Neutral,Neutral,'
The wall has a crack.,Neutral,Neutral,'
The calendar shows July.,Neutral,Neutral,'
The screen is black.,Neutral,Neutral,'
I checked the time.,Neutral,Neutral,'
The drawer is closed.,Neutral,Neutral,'
The notebook was opened.,Neutral,Neutral,'
The bench is wooden.,Neutral,Neutral,'
The light flickered.,Neutral,Neutral,'
He looked out the window.,Neutral,Neutral,'
The table is square.,Neutral,Neutral,'
I put the phone down.,Neutral,Neutral,'
The glass is half full.,Neutral,Neutral,'
She tied her hair.,Neutral,Neutral,'
They sat in silence.,Neutral,Neutral,'
The chair is near the door.,Neutral,Neutral,'
The shoes are under the bed.,Neutral,Neutral,'
The sink is stainless steel.,Neutral,Neutral,'
The wall clock is ticking.,Neutral,Neutral,'
He pushed the button.,Neutral,Neutral,'
The fridge is humming.,Neutral,Neutral,'
She adjusted the mirror.,Neutral,Neutral,'
I switched the channel.,Neutral,Neutral,'
The carpet is soft.,Neutral,Neutral,'
The newspaper is folded.,Neutral,Neutral,'
The floor lamp is tall.,Neutral,Neutral,'
The shoes are dry.,Neutral,Neutral,'
The mug is on the counter.,Neutral,Neutral,'
The pen is uncapped.,Neutral,Neutral,'
I erased the board.,Neutral,Neutral,'
